Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;Present residence since;Property;Age in years;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Telephone;foreign worker;Flag
... < 0 DM;6.0;critical account/ other credits existing (not at this bank);radio/television;1169.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;real estate;67.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;48.0;existing credits paid back duly till now;radio/television;5951.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;2.0;real estate;22.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;12.0;critical account/ other credits existing (not at this bank);education;2096.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;3.0;real estate;49.0;none;own;1.0;unskilled - resident;2.0;none;yes;0
... < 0 DM;42.0;existing credits paid back duly till now;furniture/equipment;7882.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;guarantor;4.0; building society savings agreement/ life insurance;45.0;none;for free;1.0;skilled employee / official;2.0;none;yes;0
... < 0 DM;24.0;delay in paying off in the past;car (new);4870.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;4.0;unknown / no property;53.0;none;for free;2.0;skilled employee / official;2.0;none;yes;1
no checking account;36.0;existing credits paid back duly till now;education;9055.0;unknown/ no savings account;1 <= ... < 4 years;2.0;male : single;none;4.0;unknown / no property;35.0;none;for free;1.0;unskilled - resident;2.0;yes, registered under the customers name;yes;0
no checking account;24.0;existing credits paid back duly till now;furniture/equipment;2835.0;500 <= ... < 1000 DM;.. >= 7 years;3.0;male : single;none;4.0; building society savings agreement/ life insurance;53.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;car (used);6948.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;car or other;35.0;none;rent;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;existing credits paid back duly till now;radio/television;3059.0;.. >= 1000 DM;4 <= ... < 7 years;2.0;male : divorced/separated;none;4.0;real estate;61.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;30.0;critical account/ other credits existing (not at this bank);car (new);5234.0;... < 100 DM;unemployed;4.0;male : married/widowed;none;2.0;car or other;28.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;1
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;car (new);1295.0;... < 100 DM;... < 1 year;3.0;female : divorced/separated/married;none;1.0;car or other;25.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;48.0;existing credits paid back duly till now;business;4308.0;... < 100 DM;... < 1 year;3.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;24.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;radio/television;1567.0;... < 100 DM;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;1.0;car or other;22.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;24.0;critical account/ other credits existing (not at this bank);car (new);1199.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;60.0;none;own;2.0;unskilled - resident;1.0;none;yes;1
... < 0 DM;15.0;existing credits paid back duly till now;car (new);1403.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;4.0;car or other;28.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;24.0;existing credits paid back duly till now;radio/television;1282.0;100 <= ... < 500 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;2.0;car or other;32.0;none;own;1.0;unskilled - resident;1.0;none;yes;1
no checking account;24.0;critical account/ other credits existing (not at this bank);radio/television;2424.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;53.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;30.0;no credits taken/ all credits paid back duly;business;8072.0;unknown/ no savings account;... < 1 year;2.0;male : single;none;3.0;car or other;25.0;bank;own;3.0;skilled employee / official;1.0;none;yes;0
